Year;Month;Number_of_hours;Mean
1980;2;702000;25.2931027174105
1980;3;702696;25.6000686200396
1980;4;703440;25.6885482308171
1980;5;704160;25.0519134745614
1980;6;704904;24.1488073821237
1980;7;705624;23.3412289057808
1980;8;706368;23.3243107532457
1980;9;707112;23.8635405100367
1980;10;707832;24.1997913619392
1980;11;708576;24.1986209493217
1980;12;709296;24.3990105326035
1981;1;710040;24.7640505625486
1981;2;710784;25.4596414596226
1981;3;711456;25.4363522233135
1981;4;712200;25.5949158728926
1981;5;712920;25.02653329377
1981;6;713664;24.3687793182672
1981;7;714384;23.2954646120007
1981;8;715128;23.3302506430861
1981;9;715872;23.7743228613706
1981;10;716592;24.406124947487
1981;11;717336;24.6234701430225
1981;12;718056;24.828938368356
1982;1;718800;24.9717767131315
1982;2;719544;25.4168003675487
1982;3;720216;25.7836351658975
1982;4;720960;25.4507722605131
1982;5;721680;24.9752892946477
1982;6;722424;23.9548942177155
1982;7;723144;23.0920206772808
1982;8;723888;23.0036505140287
1982;9;724632;23.5561389753118
1982;10;725352;23.7891499065552
1982;11;726096;24.1593811205759
1982;12;726816;24.4942857027694
1983;1;727560;25.3002820353281
1983;2;728304;26.0772558809452
1983;3;728976;26.3314473513661
1983;4;729720;26.1247868076231
1983;5;730440;25.4277327013712
1983;6;731184;24.0825552282215
1983;7;731904;23.3422571343364
1983;8;732648;23.2695084880374
1983;9;733392;23.7514504865811
1983;10;734112;23.9332032898735
1983;11;734856;24.2850395426746
1983;12;735576;24.4740980090003
1984;1;736320;24.8067641287113
1984;2;737064;25.4041767274362
1984;3;737760;25.7545356829477
1984;4;738504;25.6027753290032
1984;5;739224;25.2522158011294
1984;6;739968;24.5404156766928
1984;7;740688;23.6973419590724
1984;8;741432;23.8099851241321
1984;9;742176;24.0891902401424
1984;10;742896;24.376220284175
1984;11;743640;24.3472995492297
1984;12;744360;24.560297992322
1985;1;745104;24.9795839292216
1985;2;745848;25.2941866876559
1985;3;746520;25.666921188082
1985;4;747264;25.2495729772726
1985;5;747984;24.9363398194373
1985;6;748728;24.0737201500295
1985;7;749448;23.4442300614517
1985;8;750192;23.4452087373144
1985;9;750936;23.6288106256025
1985;10;751656;24.1133632407883
1985;11;752400;24.4127384200698
1985;12;753120;24.6082113338653
1986;1;753864;24.9498791867985
1986;2;754608;25.3507497632187
1986;3;755280;25.2770328646309
1986;4;756024;25.5990844880874
1986;5;756744;25.2885089751279
1986;6;757488;24.32798063591
1986;7;758208;23.4189173488707
1986;8;758952;23.4820837991791
1986;9;759696;23.9179177295913
1986;10;760416;24.1775834085478
1986;11;761160;24.1850229900746
1986;12;761880;24.4785801864692
1987;1;762624;25.0244629928499
1987;2;763368;25.519839919431
1987;3;764040;25.9539007429287
1987;4;764784;25.999889387849
1987;5;765504;25.5659566195845
1987;6;766248;24.8230494155894
1987;7;766968;24.327909055274
1987;8;767712;24.0605108353618
1987;9;768456;24.3668435873141
1987;10;769176;24.713093211707
1987;11;769920;25.0075923978704
1987;12;770640;25.3516491221992
1988;1;771384;25.3656838129034
1988;2;772128;26.0714044693312
1988;3;772824;26.1915432833441
1988;4;773568;25.9604130742716
1988;5;774288;25.7631348870644
1988;6;775032;24.8328167928839
1988;7;775752;24.0180976391375
1988;8;776496;23.9973248001352
1988;9;777240;24.0623064995414
1988;10;777960;24.4719845479697
1988;11;778704;24.5881448548591
1988;12;779424;24.6527886838913
1989;1;780168;24.9896768803303
1989;2;780912;25.4376647385587
1989;3;781584;25.6256753914108
1989;4;782328;25.548745751923
1989;5;783048;25.1310310466288
1989;6;783792;24.5853321186054
1989;7;784512;23.6641419398944
1989;8;785256;23.5942229681567
1989;9;786000;23.943184472583
1989;10;786720;24.2340512468481
1989;11;787464;24.703265003087
1989;12;788184;24.6992873917394
1990;1;788928;25.0218167487579
1990;2;789672;25.4390519289384
1990;3;790344;25.7005882729457
1990;4;791088;25.8553412512269
1990;5;791808;25.3769347986357
1990;6;792552;24.5274706973429
1990;7;793272;23.4604234905853
1990;8;794016;23.4270628832227
1990;9;794760;23.8899227790149
1990;10;795480;24.4643609659343
1990;11;796224;24.767716403174
1990;12;796944;24.901863563937
1991;1;797688;25.1967331534255
1991;2;798432;25.8450579070273
1991;3;799104;26.0957928226413
1991;4;799848;25.7075506502326
1991;5;800568;25.5698395637089
1991;6;801312;24.947255092801
1991;7;802032;23.8315043073083
1991;8;802776;23.6653115381702
