Year,Month,Julian_day,Mean
1902,9,19250,0.187866562
1902,10,19280.5,-0.325599969
1902,11,19311,-0.982647576
1902,12,19341.5,-0.932001257
1903,1,19372.5,-0.422732571
1903,2,19402,-0.138969118
1903,3,19431.5,-0.032589218
1903,4,19462,-1.617266112
1903,5,19492.5,-0.699592768
1903,6,19523,-1.548410516
1903,7,19553.5,-1.335937029
1903,8,19584.5,-0.466777678
1903,9,19615,-0.263507719
1903,10,19645.5,-0.075421042
1903,11,19676,-0.711076157
1903,12,19706.5,-0.314561754
1904,1,19737.5,-0.477112226
1904,2,19767.5,-0.018372501
1904,3,19797.5,-0.187637302
1904,4,19828,0.015608345
1904,5,19858.5,0.45700235
1904,6,19889,0.932485048
1904,7,19919.5,1.376798284
1904,8,19950.5,0.556052536
1904,9,19981,-1.337817513
1904,10,20011.5,-1.084420151
1904,11,20042,-1.587508494
1904,12,20072.5,-0.806107327
1905,1,20103.5,-1.832798561
1905,2,20133,-1.771346571
1905,3,20162.5,-0.261658348
1905,4,20193,-0.036966493
1905,5,20223.5,-0.904278533
1905,6,20254,-0.502905807
1905,7,20284.5,1.024435412
1905,8,20315.5,0.320468616
1905,9,20346,0.589871145
1905,10,20376.5,-2.324719997
1905,11,20407,-0.661338435
1905,12,20437.5,-0.358544063
1906,1,20468.5,-0.57629205
1906,2,20498,-1.179644627
1906,3,20527.5,-0.588228587
1906,4,20558,-0.632375044
1906,5,20588.5,-0.914557297
1906,6,20619,-0.631669237
1906,7,20649.5,-0.313669976
1906,8,20680.5,0.231363333
1906,9,20711,-0.999594337
1906,10,20741.5,-0.592982076
1906,11,20772,0.109447928
1906,12,20802.5,-1.034398158
1907,1,20833.5,-1.491998961
1907,2,20863,-1.819537857
1907,3,20892.5,-1.767916499
1907,4,20923,-1.513475553
1907,5,20953.5,-0.292878412
1907,6,20984,-0.4079386
1907,7,21014.5,-0.846501753
1907,8,21045.5,0.171506028
1907,9,21076,-0.175499402
1907,10,21106.5,0.747056726
1907,11,21137,0.154782988
1907,12,21167.5,0.587966049
1908,1,21198.5,-0.401170108
1908,2,21228.5,-0.675993957
1908,3,21258.5,-0.825760605
1908,4,21289,-1.27395729
1908,5,21319.5,0.707424894
1908,6,21350,0.364813961
1908,7,21380.5,-0.297397948
1908,8,21411.5,-0.684923063
1908,9,21442,-1.052133266
1908,10,21472.5,-0.287410604
1908,11,21503,-0.796177333
1908,12,21533.5,-0.602773308
1909,1,21564.5,-1.053313006
1909,2,21594,-1.769056842
1909,3,21623.5,-0.819827864
1909,4,21654,-0.043503222
1909,5,21684.5,-0.325116673
1909,6,21715,-0.869181043
1909,7,21745.5,-1.569498846
1909,8,21776.5,-0.816722611
1909,9,21807,-0.796311547
1909,10,21837.5,0.090357753
1909,11,21868,-0.905999722
1909,12,21898.5,0.408792832
1910,1,21929.5,-0.286147652
1910,2,21959,-0.446289371
1910,3,21988.5,-0.494980326
1910,4,22019,-0.550390772
1910,5,22049.5,-1.383653319
1910,6,22080,-0.691784939
1910,7,22110.5,-1.378100834
1910,8,22141.5,-0.728145755
1910,9,22172,-1.846455641
1910,10,22202.5,-0.081237696
